Common,165
GPS Time,LastUpdt(WDB),MAC,SSID,Encryption,RSSI,Channel,Manufacturer,AP Type,Latitude,Longitude
2018-04-03 02:05:38.892457,2018-02-16 10:00:00,84:c9:b2:52:16:e9,A4 Site,WPA2/WPA,-67,6,D-LinkIn,Unidentified,14.644872,121.060805
2018-04-05 13:43:18,2018-02-16 10:00:00,00:13:33:fb:45:3b,xNonex,OPN,-76,1,Baudtec,Unidentified,14.64493,121.060898
2018-03-14 13:31:33.390259,2018-02-16 10:00:00,e0:8e:3c:26:15:1c,FINNLEY,WPA,-75,11,AztechEl,Unidentified,14.64485,121.060953
2018-04-03 00:35:54.143321,2018-02-16 10:00:00,e0:8e:3c:1b:9e:cf,Bloom n Dash,WPA2/WPA,-53,1,AztechEl,Unidentified,14.644957,121.060937
2018-04-03 01:51:45.939100,2018-02-16 10:00:00,e0:8e:3c:1f:f5:73,Cura,WPA2/WPA,-66,10,AztechEl,Unidentified,14.644883,121.060933
2018-04-03 01:51:01.587433,2018-02-16 10:00:00,00:13:33:f4:45:9f,PLDTHOMEDSLMIRANDA,WPA2/WPA,-56,5,Baudtec,Broadband,14.644945,121.06096
2018-04-05 14:08:57,2018-02-16 10:00:00,00:13:33:da:f9:62,PLDTHOMEDSL,WPA2/WPA,-71,6,Baudtec,Broadband,14.644755,121.060973
2018-04-05 14:20:53,2018-02-16 10:00:00,18:d6:c7:48:32:4c,Bawal Dito!,WPA2/WPA,-81,1,Tp-LinkT,Unidentified,14.644588,121.060975
2018-04-10 17:47:46,2018-02-16 10:00:00,88:d2:74:86:bf:9c,bayanDSLWIFI_BF9C,WPA2/WPA,-70,1,Zte,Unidentified,14.644255,121.060332
2018-04-03 02:05:15.932279,2018-02-16 10:00:00,94:46:96:1f:ef:be,PLDTHOMEDSLURUW0,WPA2/WPA,-53,5,Baudtec,Broadband,14.644238,121.060898
2018-04-10 18:04:51,2018-02-16 10:00:00,cc:06:77:21:02:b0,xNonex,WPA2/WPA,-53,11,Fiberhom,Fiber,14.644342,121.06083
2018-04-10 18:05:33,2018-02-16 10:00:00,f0:98:38:9f:a6:e4,AG wifi,WPA2/WPA,-75,1,HuaweiTe,Unidentified,14.644235,121.060707
2018-04-03 00:35:35.307048,2018-02-16 10:00:00,94:46:96:19:2a:3e,PLDTHOMEDSLNFNQ0,WPA2/WPA,-42,1,Baudtec,Broadband,14.644538,121.060995
2018-04-05 14:08:34,2018-02-16 10:00:00,74:4a:a4:79:08:14,ILikeWarmHugs,WPA2/WPA,-56,3,Zte,Unidentified,14.644298,121.061032
2018-04-03 02:05:01.308143,2018-02-16 10:00:00,e4:8d:8c:ae:62:a2,GloboAsiatico,WPA2,-59,6,Routerbo,Unidentified,14.643893,121.060967
2018-04-03 02:05:01.381321,2018-02-16 10:00:00,e6:8d:8c:ae:62:a5,xNonex,WPA2/WPA,-60,6,None,Unidentified,14.643912,121.060965
2018-04-03 02:04:50.949634,2018-02-16 10:00:00,00:0b:86:f2:fb:02,xNonex,OPN,-72,11,ArubaNet,Unidentified,14.643675,121.06101
2018-04-03 02:04:50.925479,2018-02-16 10:00:00,00:0b:86:f2:fb:00,Bayan Guest,OPN,-73,11,ArubaNet,Unidentified,14.643675,121.06101
2018-04-03 02:05:07.499854,2018-02-16 10:00:00,00:0b:86:f2:fa:a0,Bayan Guest,OPN,-64,11,ArubaNet,Unidentified,14.644002,121.060945
2018-04-03 02:04:50.937872,2018-02-16 10:00:00,00:0b:86:f2:fb:01,xNonex,WPA,-72,11,ArubaNet,Unidentified,14.643675,121.06101
2018-04-03 02:05:01.825095,2018-02-16 10:00:00,e4:8d:8c:5a:8b:3b,GloboAsiatico,WPA2,-62,6,Routerbo,Unidentified,14.643912,121.060965
2018-04-03 02:05:01.842228,2018-02-16 10:00:00,e6:8d:8c:5a:8b:3b,Globo-Associates,OPN,-65,6,None,Unidentified,14.643912,121.060965
2018-04-03 02:05:01.323914,2018-02-16 10:00:00,e6:8d:8c:ae:62:a2,Globo-Associates,OPN,-59,6,None,Unidentified,14.643893,121.060967
2018-04-03 02:05:07.777215,2018-02-16 10:00:00,00:0b:86:f2:fa:a2,xNonex,OPN,-59,11,ArubaNet,Unidentified,14.644002,121.060945
2018-04-03 02:05:08.301197,2018-02-16 10:00:00,00:0b:86:f2:fa:a1,xNonex,WPA,-62,11,ArubaNet,Unidentified,14.644002,121.060945
2018-04-03 02:05:01.341810,2018-02-16 10:00:00,e6:8d:8c:ae:62:a3,Globo-Guest,OPN,-59,6,None,Unidentified,14.643893,121.060967
2018-04-03 02:05:01.362049,2018-02-16 10:00:00,e6:8d:8c:ae:62:a4,PCSO,OPN,-59,6,None,Unidentified,14.643912,121.060965
2018-04-05 14:21:12,2018-02-16 10:00:00,f0:98:38:72:f0:84,HUAWEI-q7G8,WPA2/WPA,-86,1,HuaweiTe,Unidentified,14.643932,121.061017
2018-03-14 13:32:14.320057,2018-02-16 10:00:00,18:60:24:0b:31:da,DIRECT-D9-HP OfficeJet Pro 8720,WPA2,-60,11,HewlettP,Not an AP,14.643642,121.061038
2018-03-14 13:32:18.282559,2018-02-16 10:00:00,9c:6f:52:35:18:64,bayanDSLWIFI_1864,WPA2/WPA,-68,2,Zte,Unidentified,14.643382,121.061075
2018-03-14 13:32:20.891983,2018-02-16 10:00:00,38:d8:2f:2b:d8:7c,bayanDSLWiFi_D87C,WPA2/WPA,-79,4,Zte,Unidentified,14.64327,121.06108
2018-04-03 02:04:41.847697,2018-02-16 10:00:00,f4:cf:e2:32:db:02,Guest@Bayan,OPN,-69,6,Cisco,Unidentified,14.643277,121.060973
2018-04-03 02:04:42.529567,2018-02-16 10:00:00,f4:cf:e2:32:db:00,BYOD@Bayan,OPN,-68,6,Cisco,Unidentified,14.643315,121.060968
2018-04-03 02:02:46.320275,2018-02-16 10:00:00,44:d9:e7:fa:02:ea,Social Weather Stations,WPA2,-79,6,Ubiquiti,Unidentified,14.642885,121.060207
2018-04-05 13:17:21,2018-02-16 10:00:00,a0:f3:c1:c1:01:c4,RBGM-Sir Don,WPA2/WPA,-83,3,Tp-LinkT,Unidentified,14.642873,121.06002
2018-03-14 13:32:38.040936,2018-02-16 10:00:00,00:1f:fb:ab:f3:33,HomeBro_ULTERA,WPA2,-73,1,GreenPac,Mobile broadband,14.64299,121.060628
2018-04-05 14:21:33,2018-02-16 10:00:00,f2:9f:c2:d7:12:5b,SWS Guest,WPA2,-63,1,None,Unidentified,14.642872,121.060827
2018-04-05 14:21:33,2018-02-16 10:00:00,f0:9f:c2:d7:12:5b,Social Weather Stations,WPA2,-62,1,Ubiquiti,Unidentified,14.642872,121.060827
2018-04-05 14:21:36,2018-02-16 10:00:00,a0:f3:c1:56:d7:da,RBGM Training Room,WPA2,-75,2,Tp-LinkT,Unidentified,14.64286,121.060652
2018-03-14 13:32:22.337582,2018-02-16 10:00:00,18:a6:f7:76:32:a6,RBGM Sales Department,WPA2,-63,4,Tp-LinkT,Unidentified,14.643192,121.061087
2018-04-03 02:04:35.406387,2018-02-16 10:00:00,f2:9f:c2:81:4a:9b,TIERRAS CAFE,WPA2,-54,1,None,Unidentified,14.643122,121.061007
2018-04-03 02:04:26.049978,2018-02-16 10:00:00,10:7b:44:55:ce:a0,WCC Flight Attendand Wifi,WPA2,-58,6,AsustekC,Unidentified,14.642853,121.061038
2018-04-05 14:21:27,2018-02-16 10:00:00,78:c1:a7:04:d2:d4,ZTEH108N_4D2D4,WPA,-74,11,Zte,Broadband,14.642963,121.061038
2018-04-05 14:21:31,2018-02-16 10:00:00,00:26:75:ac:36:2b,bayanDSLWiFi_362B,WPA2/WPA,-64,13,AztechEl,Unidentified,14.64289,121.060918
2018-04-05 14:31:58,2017-10-26 14:00:00,90:61:0c:2e:d5:16,PLDTHOMEDSL54550,WPA2/WPA,-74,1,FidaInte,Broadband,14.646572,121.06092
2018-04-05 14:31:58,2017-10-26 14:00:00,e0:8e:3c:22:44:ab,bayanDSLWIFI_44AB,WPA2/WPA,-82,2,AztechEl,Unidentified,14.646572,121.06092
2018-04-03 01:19:15.506666,2017-10-17 12:00:00,50:68:0a:c4:fc:88,HUAWEI-E5330-FC88,WPA2,-58,5,HuaweiTe,Hotspot,14.646285,121.059542
2018-04-03 02:05:01.572169,2017-09-30 02:00:00,e6:8d:8c:5a:8d:b7,Globo-Associates,OPN,-69,6,None,Unidentified,14.643912,121.060965
2018-04-03 02:04:44.384519,2017-09-30 02:00:00,e6:8d:8c:5a:8d:b8,Globo-Guest,OPN,-75,6,None,Unidentified,14.6434,121.060977
2018-03-14 13:29:27.448284,2017-07-29 21:00:00,e0:8e:3c:1a:88:57,METEORO,WPA2/WPA,-86,1,AztechEl,Unidentified,14.647242,121.057417
2018-03-22 20:51:52.965751,2017-07-29 21:00:00,70:5a:9e:da:57:29,SKYbroadband5726,WPA2/WPA,-86,6,Technico,Broadband,14.647155,121.057442
2018-04-03 00:34:08.006407,2017-07-29 21:00:00,00:26:75:f6:01:38,Aztech5018_6013A,WPA,-65,10,AztechEl,Unidentified,14.647148,121.05762
2018-04-03 01:53:12.000340,2017-07-29 21:00:00,1e:74:0d:02:42:c0,PLDTMyDSLBiz,WPA2/WPA,-75,4,None,Broadband,14.647053,121.057468
2018-04-10 17:20:30,2017-07-29 21:00:00,d0:b2:c4:57:23:67,arbalest,WPA2/WPA,-80,1,Technico,Unidentified,14.647122,121.05745
2018-04-03 01:19:44.970845,2017-07-29 21:00:00,90:61:0c:2d:d3:09,tom&jerry,WPA2,-55,11,FidaInte,Unidentified,14.646818,121.057925
2018-04-03 00:37:40.687482,2017-07-29 21:00:00,90:61:0c:2d:88:5b,Nuat Thai 80 Maginhawa,WPA2,-61,11,FidaInte,Unidentified,14.646807,121.05798
2018-04-03 00:34:16.715990,2017-07-29 21:00:00,48:f8:b3:0f:d9:65,MotorGirl,WPA2,-56,1,Cisco-Li,Unidentified,14.646805,121.058077
2018-04-03 01:49:47.273298,2017-07-29 21:00:00,1c:74:0d:17:57:88,PLDTHOMEDSL3SQBI,WPA2/WPA,-65,4,ZyxelCom,Broadband,14.646877,121.05793
2018-04-05 13:44:48,2017-07-29 21:00:00,00:13:33:db:90:5c,PLDTHOMEDSL,WPA2/WPA,-66,11,Baudtec,Broadband,14.646873,121.057882
2018-04-13 13:44:11,2017-07-29 21:00:00,00:24:a5:d7:87:d3,BuraotNET-G-AES,WPA,-82,10,Buffalo,Unidentified,14.647068,121.05797
2018-04-03 00:34:16.715990,2017-07-29 21:00:00,48:f8:b3:0f:d9:65,MotorGirl,WPA2,-56,1,Cisco-Li,Unidentified,14.646805,121.058077
2018-03-14 13:29:43.055522,2017-07-29 21:00:00,a4:2b:b0:c1:4c:87,SKYbroadband7B2C_EXT,WPA2/WPA,-81,11,Tp-LinkT,Broadband,14.646688,121.058147
2018-04-02 00:46:25.418717,2017-07-29 21:00:00,f4:f2:6d:94:56:14,OrangeSegment1,WPA2,-68,1,Tp-LinkT,Unidentified,14.646787,121.058172
2018-04-03 01:18:21.938295,2017-07-29 21:00:00,4c:81:20:f3:97:9b,PNRBRUDU,WPA2/WPA,-82,9,TaicangT,Unidentified,14.646565,121.05858
2018-04-03 01:52:58.815054,2017-07-29 21:00:00,14:ab:f0:4d:9d:80,ARRIS-9D82,WPA2,-74,6,ArrisGro,Unidentified,14.646603,121.058147
2018-04-03 01:52:52.199785,2017-07-29 21:00:00,94:46:96:17:00:3d,PLDTHOMEDSL7M7R0,WPA2/WPA,-57,1,Baudtec,Broadband,14.646418,121.058558
2018-04-05 12:51:43,2017-07-29 21:00:00,fc:b4:e6:82:30:f0,none,none,-86,11,none,Unidentified,14.646573,121.058565
2018-04-05 12:51:47,2017-07-29 21:00:00,a4:2b:b0:d9:10:26,xNonex,WPA2/WPA,-72,11,Tp-LinkT,Unidentified,14.646662,121.05833
2018-03-14 13:29:52.325026,2017-07-29 21:00:00,bc:c0:0f:1e:90:90,PLDTHOMEFIBRe9090,WPA2/WPA,-81,7,Fiberhom,Fiber,14.646425,121.058712
2018-04-03 00:34:28.632141,2017-07-29 21:00:00,e0:8e:3c:19:9c:bb,Aztech5068_99CBB,WPA,-58,10,AztechEl,Unidentified,14.646462,121.058842
2018-04-05 13:41:57,2017-07-29 21:00:00,50:09:59:83:80:35,Skynet,WPA2/WPA,-80,11,Technico,Unidentified,14.646412,121.058933
2018-04-05 14:10:05,2017-07-29 21:00:00,ec:8c:a2:30:ff:28,#SmartWifi @StrEATMag,OPN,-49,1,RuckusWi,Unidentified,14.646528,121.058718
2018-04-13 13:44:46,2017-07-29 21:00:00,14:ab:f0:4c:c1:b0,SpynetCafe,WPA2,-73,6,ArrisGro,Unidentified,14.646803,121.05893
2018-04-02 00:46:49.550116,2017-07-29 21:00:00,00:13:33:ea:7b:20,PLDTHOMEDSLadmin,WPA2/WPA,-49,5,Baudtec,Broadband,14.646445,121.059125
2018-04-03 00:34:40.781744,2017-07-29 21:00:00,00:13:33:ea:7b:21,trendzoneqc,WPA2/WPA,-46,5,Baudtec,Unidentified,14.646378,121.059125
2018-04-03 01:52:46.353858,2017-07-29 21:00:00,00:90:a9:0e:55:0b,CallaoMan,WPA2,-62,11,WesternD,Unidentified,14.646312,121.058867
2018-04-10 17:57:06,2017-07-29 21:00:00,00:90:a9:10:89:7b,SunkenGalleon,WPA2,-61,6,WesternD,Unidentified,14.646137,121.058918
2018-04-10 18:06:24,2017-07-29 21:00:00,90:61:0c:11:8d:26,PLDTMyDSL,WPA2/WPA,-67,11,FidaInte,Broadband,14.64607,121.05887
2018-04-10 17:57:06,2017-07-29 21:00:00,00:90:a9:10:89:7c,GuestWiFi,WPA2,-60,6,WesternD,Unidentified,14.646137,121.058918
2018-04-03 02:07:03.122785,2017-07-29 21:00:00,00:13:33:df:9b:b8,PLDTHOMEDSL,WPA2/WPA,-51,11,Baudtec,Broadband,14.64634,121.059177
2018-03-22 21:30:35.925812,2017-07-29 21:00:00,30:b5:c2:b5:33:12,FatPipe@BosCoffee,OPN,-73,13,Tp-LinkT,Unidentified,14.646157,121.059723
2018-04-02 00:47:02.328868,2017-07-29 21:00:00,94:a7:b7:26:4d:f6,bayanDSLWIFI_4DF6,WPA2/WPA,-54,10,Zte,Unidentified,14.646318,121.059678
2018-04-03 00:34:50.860209,2017-07-29 21:00:00,00:13:33:e1:63:df,PLDTHOMEDSL,WPA2/WPA,-53,11,Baudtec,Broadband,14.6463,121.059592
2018-04-03 00:34:52.238291,2017-07-29 21:00:00,14:b7:f8:0b:38:33,Chibutt,WPA2/WPA,-57,11,Technico,Unidentified,14.646287,121.059657
2018-04-03 00:37:06.843952,2017-07-29 21:00:00,1a:4f:32:45:96:6b,DIRECT-Jx-BRAVIA,WPA2,-73,11,None,Unidentified,14.64629,121.059525
2018-04-03 01:50:15.905787,2017-07-29 21:00:00,94:46:96:1d:46:ce,PLDTHOMEDSLUJU40,WPA2/WPA,-54,11,Baudtec,Broadband,14.646255,121.059537
2018-04-05 12:50:14,2017-07-29 21:00:00,70:5a:9e:92:6f:f4,SKYbroadband6FF1,WPA2/WPA,-67,12,Technico,Broadband,14.646188,121.059922
2018-04-05 14:07:44,2017-07-29 21:00:00,74:cc:39:c0:f1:08,PLDTHOMEFIBR0f108,WPA2/WPA,-85,9,Fiberhom,Fiber,14.64631,121.059638
2018-03-14 13:31:02.625460,2017-07-29 21:00:00,94:a7:b7:3c:f9:7c,55tinta,WPA2/WPA,-90,1,Zte,Unidentified,14.646092,121.060072
2018-04-03 01:50:31.865124,2017-07-29 21:00:00,74:cc:39:bb:51:60,PLDTHOMEFIBRb5160,WPA2/WPA,-75,9,Fiberhom,Fiber,14.646185,121.0601
2018-04-03 02:06:01.767188,2017-07-29 21:00:00,f0:98:38:f9:14:28,Fiber200,WPA2/WPA,-48,8,HuaweiTe,Unidentified,14.645943,121.060365
2018-04-03 02:06:05.336326,2017-07-29 21:00:00,cc:1a:fa:97:cf:b8,bayanDSL,WPA,-56,11,Zte,Unidentified,14.646007,121.060258
2018-04-03 01:50:35.037438,2017-07-29 21:00:00,00:13:33:e1:c9:15,PLDTHOMEDSL,WPA2/WPA,-59,11,Baudtec,Broadband,14.646148,121.060235
2018-04-05 12:50:26,2017-07-29 21:00:00,74:cc:39:bb:7e:50,Anytime Fitness Maginhawa,WPA2/WPA,-74,7,Fiberhom,Fiber,14.64608,121.060272
2018-04-05 12:50:41,2017-07-29 21:00:00,ac:86:74:4a:09:53,xNonex,WPA2/WPA,-56,5,OpenMesh,Unidentified,14.645998,121.060417
2018-04-05 12:50:41,2017-07-29 21:00:00,ac:86:74:4a:09:52,CloudTrax,OPN,-58,5,OpenMesh,Unidentified,14.645998,121.060417
2018-04-05 12:50:28,2017-07-29 21:00:00,dc:09:4c:14:29:cf,Monmon,WPA2/WPA,-63,9,HuaweiTe,Unidentified,14.646057,121.060335
2018-04-05 12:50:33,2017-07-29 21:00:00,e0:8e:3c:21:45:ff,bayanDSLWIFI_45FF,WPA2/WPA,-65,11,AztechEl,Unidentified,14.64601,121.060417
2018-04-05 12:50:48,2017-07-29 21:00:00,c0:56:27:90:c5:57,PDLAW,WPA2,-62,10,BelkinIn,Unidentified,14.645998,121.060417
2018-04-05 13:42:28,2017-07-29 21:00:00,74:cc:39:bb:51:38,AFMaginhawaOffice,WPA2/WPA,-74,8,Fiberhom,Fiber,14.646108,121.060093
2018-04-05 14:19:15,2017-07-29 21:00:00,00:18:4d:95:5d:b0,MRS,WPA,-79,11,Netgear,Unidentified,14.646153,121.059992
2018-04-05 14:09:27,2017-07-29 21:00:00,5c:6a:80:1a:25:c6,SNOW CREME,WPA2/WPA,-53,13,ZyxelCom,Unidentified,14.645917,121.060572
2018-04-10 17:57:56,2017-07-29 21:00:00,e0:8e:3c:2a:07:e0,Aztech5068_A07E0,WPA,-87,1,AztechEl,Unidentified,14.64585,121.058478
2018-04-05 13:15:03,2017-07-29 21:00:00,14:b7:f8:0b:44:97,SKYbroadband4494,WPA2/WPA,-63,1,Technico,Broadband,14.645802,121.058723
2018-04-10 17:57:53,2017-07-29 21:00:00,00:90:a9:10:93:eb,CalataganPot,WPA2,-73,11,WesternD,Unidentified,14.6458,121.058657
2018-04-03 01:50:45.422326,2017-07-29 21:00:00,28:10:7b:f1:02:bc,Diliman Bible Church,WPA2/WPA,-73,7,D-LinkIn,Unidentified,14.645845,121.060657
2018-04-03 01:52:07.396086,2017-07-29 21:00:00,48:00:33:62:97:e9,SKYMAGINHAWA,WPA2/WPA,-83,11,Technico,Unidentified,14.645722,121.060512
2018-04-05 14:09:22,2017-07-29 21:00:00,00:13:33:dc:91:af,PLDTHOMEDSLDAL1,WPA2/WPA,-56,11,Baudtec,Broadband,14.645673,121.060752
2018-04-05 14:31:35,2017-07-29 21:00:00,90:61:0c:2a:47:af,Marco,WPA2,-78,11,FidaInte,Unidentified,14.645657,121.061073
2018-04-05 14:08:16,2017-07-29 21:00:00,e4:77:23:a5:0c:cc,bayanDSLWiFi_0CCC,WPA2/WPA,-63,4,Zte,Unidentified,14.645245,121.060887
2018-03-14 13:31:34.810125,2017-07-29 21:00:00,d0:03:4b:d7:9c:e8,Joseph Carmelos Wi-Fi Network,WPA2,-62,11,Apple,Phone,14.644777,121.06096
2018-03-14 13:31:33.537351,2017-07-29 21:00:00,94:46:96:16:11:b9,PLDTHOMEDSL4T4K0,WPA2/WPA,-78,11,Baudtec,Broadband,14.64485,121.060953
2018-04-05 14:08:27,2017-07-29 21:00:00,0a:47:c9:46:96:23,xNonex,WPA2,-78,11,None,Unidentified,14.64453,121.060968
2018-03-14 13:30:05.981239,2017-07-15 09:00:00,36:69:87:72:1d:a3,Smart Bro_721DA3,OPN,-78,1,None,Unidentified,14.64639,121.058998
2018-04-05 12:49:36,2017-07-15 09:00:00,38:46:08:f3:47:24,bayanDSL,WPA,-71,10,Zte,Unidentified,14.646497,121.058723
2018-04-05 14:18:46,2017-07-15 09:00:00,f0:98:38:07:a6:4c,Armstrong,WPA2/WPA,-84,6,HuaweiTe,Unidentified,14.646495,121.058763
2018-04-05 14:31:54,2017-07-15 09:00:00,00:13:33:cf:5e:f8,PLDTHOMEDSL,WPA2/WPA,-86,11,Baudtec,Broadband,14.646408,121.060977
2018-04-03 01:52:42.323692,2017-07-15 09:00:00,bc:98:89:9c:f0:e0,PLDTHOMEFIBRbye20mbps,WPA2/WPA,-81,9,Fiberhom,Fiber,14.646247,121.059103
2018-04-03 01:18:49.349080,2017-07-15 09:00:00,84:9f:b5:3e:81:8c,wifidental,WPA2,-62,1,HuaweiTe,Unidentified,14.64624,121.059643
2018-04-05 13:42:31,2017-07-15 09:00:00,e0:8e:3c:16:58:8d,cosme,WPA2/WPA,-86,10,AztechEl,Unidentified,14.646085,121.060213
2018-04-02 00:47:39.820239,2017-07-15 09:00:00,00:13:33:ea:87:f5,PLDTHOMEDSL,WPA2/WPA,-57,11,Baudtec,Broadband,14.646197,121.060845
2018-04-05 14:31:47,2017-07-15 09:00:00,00:24:01:b8:d1:9d,FRANCISCO-PC_Network,WPA2,-74,6,D-Link,Unidentified,14.646045,121.061088
2018-04-03 02:05:50.208727,2017-07-15 09:00:00,20:25:64:c6:89:a5,963c41,WPA2/WPA,-81,1,Pegatron,Unidentified,14.645573,121.060707
2018-04-05 14:09:12,2017-07-15 09:00:00,00:13:33:fb:45:3d,xNonex,OPN,-68,1,Baudtec,Unidentified,14.64517,121.06094
2018-04-05 13:14:12,2017-06-09 13:00:00,00:13:33:d3:4b:09,PLDTHOMEDSL,WPA2/WPA,-73,6,Baudtec,Broadband,14.647022,121.057452
2018-04-05 12:52:49,2017-06-09 13:00:00,90:61:0c:2e:a7:39,PLDTHOMEDSL42809,WPA2/WPA,-66,1,FidaInte,Broadband,14.646872,121.057317
2018-04-03 01:19:44.070561,2017-06-09 13:00:00,60:31:97:dc:e7:f0,The Wander Space Project,WPA2/WPA,-75,12,ZyxelCom,Unidentified,14.646812,121.057972
2018-04-02 00:23:36.107594,2017-06-09 13:00:00,9c:a9:e4:9a:e3:bf,Sun Wi-Fi_9AE3BE,OPN,-56,11,Zte,Unidentified,14.646777,121.057292
2018-04-03 01:19:43.523906,2017-06-09 13:00:00,80:2a:a8:41:e9:d6,Wireless,WPA2,-73,11,Ubiquiti,Unidentified,14.646795,121.058018
2018-04-05 13:41:56,2017-06-09 13:00:00,ee:1d:7f:a1:32:b7,YASSI,WPA2/WPA,-74,13,None,Unidentified,14.646423,121.058887
2018-04-05 14:18:53,2017-06-09 13:00:00,00:26:75:f7:27:a0,Panuncialman,WPA2,-84,11,AztechEl,Unidentified,14.64639,121.059112
2018-04-10 17:57:41,2017-06-09 13:00:00,1c:74:0d:17:c9:a0,PLDTHOMEDSL29VC1,WPA2/WPA,-66,5,ZyxelCom,Broadband,14.646262,121.058928
2018-04-03 01:18:49.751125,2017-06-09 13:00:00,bc:c0:0f:1f:c2:f0,PLDTHOMEFIBRfc2f0,WPA2/WPA,-79,1,Fiberhom,Fiber,14.64624,121.059643
2018-04-05 12:50:04,2017-06-09 13:00:00,74:cc:39:ca:35:38,PLDTHOMEFIBRa3538,WPA2/WPA,-74,6,Fiberhom,Fiber,14.646277,121.059578
2018-04-05 14:19:17,2017-06-09 13:00:00,00:13:33:c0:57:33,PLDTHOMEDSL,WPA2/WPA,-72,11,Baudtec,Broadband,14.646143,121.060037
2018-04-05 14:10:32,2017-04-04 12:00:00,a0:8c:fd:0d:68:44,DIRECT-3D-HP DeskJet 3830 series,WPA2,-68,6,HewlettP,Not an AP,14.647008,121.057705
2018-04-03 01:50:02.635606,2017-04-04 12:00:00,28:9a:fa:47:44:f8,smart wireless,WPA2,-87,3,TctMobil,Hotspot,14.646428,121.058838
2018-04-13 13:44:56,2017-03-03 15:00:00,d2:5b:a8:32:a2:7c,hartsopia,WPA2/WPA,-88,1,None,Unidentified,14.646497,121.058887
2018-04-05 14:19:09,2017-03-03 15:00:00,70:5a:0f:58:c6:f9,DIRECT-F8-HP DeskJet 5820 series,WPA2,-85,8,HewlettP,Not an AP,14.646172,121.05982
2018-03-14 13:32:08.765919,2016-12-06 15:00:00,e6:8d:8c:8c:85:29,Globo-Associates,OPN,-75,6,None,Unidentified,14.644017,121.061003
2018-04-03 02:05:02.559446,2016-12-06 15:00:00,e6:8d:8c:5a:8b:3d,PCSO,OPN,-63,6,None,Unidentified,14.643928,121.060962
2018-04-03 02:02:09.637433,2016-12-06 15:00:00,1c:74:0d:19:23:80,PLDTHOMEDSLADJLC,WPA2/WPA,-61,8,ZyxelCom,Broadband,14.642812,121.058955
2018-03-14 13:32:33.896112,2016-12-06 15:00:00,f4:cf:e2:1f:f0:02,Guest@Bayan,OPN,-64,11,Cisco,Unidentified,14.642998,121.060865
2018-03-14 13:32:33.984786,2016-12-06 15:00:00,f4:cf:e2:1f:f0:00,BYOD@Bayan,OPN,-64,11,Cisco,Unidentified,14.642998,121.060865
2018-03-14 13:32:34.174901,2016-12-06 15:00:00,f4:cf:e2:1f:f0:01,WiFi@Bayan,WPA2/WPA,-64,11,Cisco,Unidentified,14.642998,121.060865
2018-04-02 00:46:03.437788,2016-09-08 03:00:00,34:bf:90:38:94:28,xNonex,WPA,-87,11,Fiberhom,Fiber,14.646962,121.05788
